
Seconds, 126-1930
5.686667,56.135820,
5.693333,54.658561,
5.700000,53.181303,
5.706667,53.181303,
5.713333,54.658561,
5.720000,57.613078,
5.726667,56.135820,
5.733333,56.135820,
5.740000,57.613078,
5.746667,59.090336,
5.753333,57.613078,
5.760000,62.044853,
5.766667,54.658561,
5.773333,56.135820,
5.780000,60.567595,
5.786667,60.567595,
5.793333,54.658561,
5.800000,54.658561,
5.806667,56.135820,
5.813333,57.613078,
5.820000,59.090336,
5.826667,57.613078,
5.833333,62.044853,
5.840000,62.044853,
5.846667,59.090336,
5.853333,57.613078,
5.860000,60.567595,
5.866667,56.135820,
5.873333,59.090336,
5.880000,53.181303,
5.886667,59.090336,
5.893333,59.090336,
5.900000,59.090336,
5.906667,59.090336,
5.913333,60.567595,
5.920000,60.567595,
5.926667,60.567595,
5.933333,62.044853,
5.940000,59.090336,
5.946667,57.613078,
5.953333,56.135820,
5.960000,57.613078,
5.966667,57.613078,
5.973333,60.567595,
5.980000,60.567595,
5.986667,60.567595,
5.993333,60.567595,
6.000000,60.567595,
6.006667,60.567595,
6.013333,57.613078,
6.020000,53.181303,
6.026667,57.613078,
6.033333,57.613078,
6.040000,54.658561,
6.046667,54.658561,
6.053333,59.090336,
6.060000,53.181303,
6.066667,53.181303,
6.073333,56.135820,
6.080000,53.181303,
6.086667,50.226786,
6.093333,51.704044,
6.100000,53.181303,
6.106667,56.135820,
6.113333,51.704044,
6.120000,51.704044,
6.126667,50.226786,
6.133333,53.181303,
6.140000,54.658561,
6.146667,56.135820,
6.153333,54.658561,
6.160000,54.658561,
6.166667,54.658561,
6.173333,54.658561,
6.180000,54.658561,
6.186667,54.658561,
6.193333,54.658561,
6.200000,54.658561,
6.206667,57.613078,
6.213333,57.613078,
6.220000,56.135820,
6.226667,54.658561,
6.233333,54.658561,
6.240000,54.658561,
6.246667,57.613078,
6.253333,57.613078,
6.260000,56.135820,
6.266667,57.613078,
6.273333,59.090336,
6.280000,54.658561,
6.286667,57.613078,
6.293333,53.181303,
6.300000,54.658561,
6.306667,57.613078,
6.313333,57.613078,
6.320000,60.567595,
6.326667,62.044853,
6.333333,62.044853,
6.340000,59.090336,
6.346667,62.044853,
6.353333,56.135820,
6.360000,56.135820,
6.366667,53.181303,
6.373333,53.181303,
6.380000,53.181303,
6.386667,51.704044,
6.393333,48.749528,
6.400000,45.795011,
6.406667,48.749528,
6.413333,47.272269,
6.420000,48.749528,
6.426667,50.226786,
6.433333,50.226786,
6.440000,54.658561,
6.446667,57.613078,
6.453333,56.135820,
6.460000,56.135820,
6.466667,57.613078,
6.473333,51.704044,
6.480000,53.181303,
6.486667,56.135820,
6.493333,56.135820,
6.500000,53.181303,
6.506667,56.135820,
6.513333,53.181303,
6.520000,54.658561,
6.526667,53.181303,
6.533333,54.658561,
6.540000,54.658561,
6.546667,57.613078,
6.553333,54.658561,
6.560000,53.181303,
6.566667,50.226786,
6.573333,44.317752,
6.580000,47.272269,
6.586667,48.749528,
6.593333,47.272269,
6.600000,45.795011,
6.606667,45.795011,
6.613333,45.795011,
6.620000,42.840494,
6.626667,39.885977,
6.633333,41.363235,
6.640000,39.885977,
6.646667,38.408719,
6.653333,35.454202,
6.660000,36.931460,
6.666667,29.545168,
6.673333,26.590651,
6.680000,28.067910,
6.686667,26.590651,
6.693333,13.295326,
6.700000,11.818067,
6.706667,13.295326,
6.713333,11.818067,
6.720000,13.295326,
6.726667,8.863550,
6.733333,8.863550,
6.740000,7.386292,
6.746667,8.863550,
6.753333,8.863550,
6.760000,10.340809,
6.766667,10.340809,
6.773333,8.863550,
6.780000,8.863550,
6.786667,8.863550,
6.793333,10.340809,
6.800000,10.340809,
6.806667,10.340809,
6.813333,13.295326,
6.820000,11.818067,
6.826667,11.818067,
6.833333,11.818067,
6.840000,11.818067,
6.846667,10.340809,
6.853333,8.863550,
6.860000,8.863550,
6.866667,7.386292,
6.873333,10.340809,
6.880000,8.863550,
6.886667,7.386292,
6.893333,11.818067,
6.900000,8.863550,
6.906667,11.818067,
6.913333,11.818067,
6.920000,8.863550,
6.926667,8.863550,
6.933333,10.340809,
6.940000,11.818067,
6.946667,8.863550,
6.953333,8.863550,
6.960000,13.295326,
6.966667,13.295326,
6.973333,10.340809,
6.980000,8.863550,
6.986667,8.863550,
6.993333,8.863550,
7.000000,8.863550,
7.006667,8.863550,
7.013333,8.863550,
7.020000,8.863550,
7.026667,8.863550,
7.033333,8.863550,
7.040000,11.818067,
7.046667,13.295326,
7.053333,13.295326,
7.060000,10.340809,
7.066667,11.818067,
7.073333,13.295326,
7.080000,11.818067,
7.086667,11.818067,
7.093333,11.818067,
7.100000,13.295326,
7.106667,11.818067,
7.113333,7.386292,
7.120000,8.863550,
7.126667,10.340809,
7.133333,7.386292,
7.140000,13.295326,
7.146667,10.340809,
7.153333,8.863550,
7.160000,7.386292,
7.166667,7.386292,
7.173333,8.863550,
7.180000,7.386292,
7.186667,7.386292,
7.193333,7.386292,
7.200000,5.909034,
7.206667,5.909034,
7.213333,7.386292,
7.220000,10.340809,
7.226667,7.386292,
7.233333,10.340809,
7.240000,8.863550,
7.246667,8.863550,
7.253333,2.954517,
7.260000,2.954517,
7.266667,5.909034,
7.273333,7.386292,
7.280000,7.386292,
7.286667,5.909034,
7.293333,5.909034,
7.300000,5.909034,
7.306667,8.863550,
7.313333,7.386292,
7.320000,5.909034,
7.326667,4.431775,
7.333333,1.477258,
7.340000,1.477258,
7.346667,2.954517,
7.353333,1.477258,
7.360000,1.477258,
7.366667,1.477258,
7.373333,1.477258,
7.380000,1.477258,
7.386667,1.477258,
7.393333,0.000000,
7.400000,1.477258,
7.406667,1.477258,
7.413333,1.477258,
7.420000,1.477258,
7.426667,0.000000,
7.433333,1.477258,
7.440000,1.477258,
7.446667,0.000000,
7.453333,1.477258,
7.460000,1.477258,
7.466667,1.477258,
7.473333,1.477258,
7.480000,1.477258,
7.486667,1.477258,
7.493333,1.477258,
7.500000,1.477258,
7.506667,1.477258,
7.513333,1.477258,
7.520000,0.000000,
7.526667,0.000000,
7.533333,0.000000,
7.540000,0.000000,
7.546667,0.000000,
7.553333,0.000000,
7.560000,0.000000,
7.566667,0.000000,
7.573333,0.000000,
7.580000,0.000000,
7.586667,0.000000,
7.593333,0.000000,
7.600000,0.000000,
7.606667,0.000000,
7.613333,0.000000,
7.620000,0.000000,
7.626667,0.000000,
7.633333,0.000000,
7.640000,0.000000,
7.646667,0.000000,
7.653333,0.000000,
7.660000,0.000000,
7.666667,0.000000,
7.673333,0.000000,
7.680000,0.000000,
7.686667,0.000000,
7.693333,0.000000,
7.700000,0.000000,
7.706667,0.000000,
7.713333,0.000000,
7.720000,0.000000,
7.726667,0.000000,
7.733333,0.000000,
7.740000,0.000000,
7.746667,0.000000,
7.753333,0.000000,
7.760000,0.000000,
7.766667,0.000000,
7.773333,0.000000,
7.780000,0.000000,
7.786667,0.000000,
7.793333,0.000000,
7.800000,0.000000,
7.806667,0.000000,
7.813333,0.000000,
7.820000,0.000000,
7.826667,0.000000,
7.833333,0.000000,
7.840000,0.000000,
7.846667,0.000000,
7.853333,0.000000,
7.860000,0.000000,
7.866667,0.000000,
7.873333,0.000000,
7.880000,0.000000,
7.886667,0.000000,
7.893333,0.000000,
7.900000,0.000000,
7.906667,0.000000,
7.913333,0.000000,
7.920000,0.000000,
7.926667,0.000000,
7.933333,0.000000,
7.940000,0.000000,
7.946667,0.000000,
7.953333,0.000000,
7.960000,0.000000,
7.966667,0.000000,
7.973333,0.000000,
7.980000,0.000000,
7.986667,0.000000,
7.993333,0.000000,
8.000000,0.000000,
8.006667,0.000000,
8.013333,0.000000,
8.020000,0.000000,
8.026667,0.000000,
8.033333,0.000000,
8.040000,0.000000,
8.046667,0.000000,
8.053333,0.000000,
8.060000,0.000000,
8.066667,0.000000,
8.073333,0.000000,
8.080000,0.000000,
8.086667,0.000000,
8.093333,0.000000,
8.100000,0.000000,
8.106667,0.000000,
8.113333,0.000000,
8.120000,0.000000,
8.126667,0.000000,
8.133333,0.000000,
8.140000,0.000000,
8.146667,0.000000,
8.153333,0.000000,
8.160000,0.000000,
8.166667,0.000000,
8.173333,0.000000,
8.180000,0.000000,
8.186667,0.000000,
8.193333,0.000000,
8.200000,0.000000,
8.206667,0.000000,
8.213333,0.000000,
8.220000,0.000000,
8.226667,0.000000,
8.233333,0.000000,
8.240000,0.000000,
8.246667,0.000000,
8.253333,0.000000,
8.260000,0.000000,
8.266667,0.000000,
8.273333,0.000000,
8.280000,0.000000,
8.286667,0.000000,
8.293333,0.000000,
8.300000,0.000000,
8.306667,0.000000,
8.313333,0.000000,
8.320000,0.000000,
8.326667,0.000000,
8.333333,0.000000,
8.340000,0.000000,
8.346667,0.000000,
8.353333,0.000000,
8.360000,0.000000,
8.366667,0.000000,
8.373333,0.000000,
8.380000,0.000000,
8.386667,0.000000,
8.393333,0.000000,
8.400000,0.000000,
8.406667,0.000000,
8.413333,0.000000,
8.420000,0.000000,
8.426667,0.000000,
8.433333,0.000000,
8.440000,0.000000,
8.446667,0.000000,
